escenario,clientes,tiempo_total_ejecucion,latencia_promedio,latencia_maxima,latencia_minima,delay
normal,1,1.0489532947540283,0.0002926248991570901,0.0006030810036463663,0.00018056899716611952,0.0
normal,5,1.0675349235534668,0.0002786358403682243,0.0005739859989262186,8.998900011647493e-05,0.0
normal,10,1.0853478908538818,0.0003118593802355463,0.0011062039993703365,8.975799573818222e-05,0.0
normal,20,1.147512674331665,0.0003589967146035633,0.0027584120034589432,9.091999527299777e-05,0.0
normal,50,1.3298113346099854,0.0006626792259194189,0.018919195994385518,7.480099884560332e-05,0.0
congestionado,1,11.063042879104614,1.000804237700504,1.0009391179992235,1.0006926709975232,0.5
congestionado,5,11.065840721130371,1.000654879980575,1.001087122996978,1.0004176309957984,0.5
congestionado,10,11.103548765182495,1.0007452365096834,1.0015005079985713,1.0003122170019196,0.5
congestionado,20,11.149412631988525,1.000744207645439,1.004231578001054,1.0004310349977459,0.5
congestionado,50,11.32532262802124,1.0008616102739325,1.0087211200007005,1.0003484760018182,0.5
